pdb,stacking,base_triple_type
ens-322,unstacked,non-triple
ens-323,unstacked,non-triple
ens-324,stacked,non-triple
ens-325,stacked,non-triple
ens-326,stacked,non-triple
ens-327,unstacked,non-triple
ens-328,unstacked,non-triple
ens-329,unstacked,non-triple
ens-330,unstacked,non-triple
ens-331,unstacked,non-triple
ens-332,unstacked,non-triple
ens-333,stacked,non-triple
ens-334,unstacked,non-triple
ens-335,unstacked,non-triple
ens-336,stacked,non-triple
ens-337,stacked,non-triple
ens-338,stacked,triple
ens-339,stacked,non-triple
ens-340,unstacked,non-triple
ens-341,stacked,non-triple
ens-342,unstacked,non-triple
ens-343,unstacked,non-triple
ens-344,unstacked,non-triple
ens-345,unstacked,non-triple
ens-346,stacked,non-triple
ens-347,stacked,non-triple
ens-348,stacked,non-triple
ens-349,unstacked,non-triple
ens-350,stacked,non-triple
ens-351,unstacked,non-triple
ens-352,unstacked,non-triple
ens-353,stacked,non-triple
ens-354,unstacked,non-triple
ens-355,unstacked,non-triple
ens-356,unstacked,non-triple
ens-357,stacked,triple
ens-358,unstacked,non-triple
ens-359,stacked,non-triple
ens-360,unstacked,non-triple
ens-361,unstacked,non-triple
ens-362,unstacked,non-triple
ens-363,stacked,triple
ens-364,stacked,non-triple
ens-365,stacked,non-triple
ens-366,stacked,non-triple
ens-367,stacked,non-triple
ens-368,unstacked,non-triple
ens-369,stacked,non-triple
ens-370,unstacked,non-triple
ens-371,unstacked,non-triple
ens-372,unstacked,non-triple
ens-373,stacked,non-triple
ens-374,unstacked,non-triple
ens-375,unstacked,non-triple
ens-376,unstacked,non-triple
ens-377,unstacked,non-triple
ens-378,unstacked,non-triple
ens-379,unstacked,non-triple
ens-380,stacked,non-triple
ens-381,unstacked,non-triple
ens-382,unstacked,non-triple
ens-383,unstacked,non-triple
ens-384,unstacked,non-triple
ens-385,stacked,non-triple
ens-386,stacked,non-triple
ens-387,unstacked,non-triple
ens-388,stacked,triple
ens-389,stacked,triple
ens-390,unstacked,non-triple
ens-391,unstacked,non-triple
ens-392,unstacked,non-triple
ens-393,unstacked,non-triple
ens-394,stacked,non-triple
ens-395,unstacked,non-triple
ens-396,stacked,non-triple
ens-397,stacked,non-triple
ens-398,stacked,non-triple
ens-399,unstacked,non-triple
ens-400,unstacked,non-triple
ens-401,unstacked,non-triple
ens-402,unstacked,non-triple
ens-403,unstacked,non-triple
ens-404,stacked,non-triple
ens-405,unstacked,non-triple
ens-406,stacked,non-triple
ens-407,unstacked,non-triple
ens-408,unstacked,non-triple
ens-409,unstacked,non-triple
ens-410,unstacked,non-triple
ens-411,stacked,non-triple
ens-412,unstacked,non-triple
ens-413,stacked,non-triple
ens-414,unstacked,non-triple
ens-415,stacked,non-triple
ens-416,stacked,non-triple
ens-417,stacked,non-triple
ens-418,unstacked,non-triple
ens-419,unstacked,non-triple
ens-420,stacked,non-triple
ens-421,stacked,non-triple
ens-422,unstacked,non-triple
ens-423,unstacked,non-triple
ens-424,stacked,non-triple
ens-425,stacked,non-triple
ens-426,stacked,non-triple
ens-427,stacked,non-triple
ens-428,unstacked,non-triple
ens-429,stacked,non-triple
ens-430,unstacked,non-triple
ens-431,unstacked,non-triple
ens-432,unstacked,non-triple
ens-433,stacked,non-triple
ens-434,unstacked,non-triple
ens-435,unstacked,non-triple
ens-436,stacked,non-triple
ens-437,stacked,non-triple
ens-438,unstacked,non-triple
ens-439,stacked,non-triple
ens-440,unstacked,non-triple
ens-441,unstacked,non-triple
ens-442,stacked,non-triple
ens-443,unstacked,non-triple
ens-444,stacked,non-triple
ens-445,unstacked,non-triple
ens-446,unstacked,non-triple
ens-447,stacked,non-triple
ens-448,unstacked,non-triple
ens-449,unstacked,non-triple
ens-450,unstacked,non-triple
ens-451,stacked,non-triple
ens-452,stacked,non-triple
ens-453,stacked,non-triple
ens-454,unstacked,non-triple
ens-455,unstacked,non-triple
ens-456,unstacked,non-triple
ens-457,stacked,non-triple
ens-458,unstacked,non-triple
ens-459,unstacked,non-triple
ens-460,stacked,non-triple
ens-461,unstacked,non-triple
ens-462,unstacked,non-triple
ens-463,unstacked,non-triple
ens-464,stacked,non-triple
ens-465,stacked,non-triple
