pdb,stacking,base_triple_type
ens-393,stacked,non-triple
ens-394,stacked,non-triple
ens-395,stacked,non-triple
ens-396,stacked,non-triple
ens-397,stacked,non-triple
ens-398,stacked,non-triple
ens-399,stacked,non-triple
ens-400,stacked,non-triple
ens-401,stacked,non-triple
ens-402,stacked,non-triple
ens-403,stacked,non-triple
ens-404,stacked,non-triple
ens-405,stacked,non-triple
ens-406,stacked,non-triple
ens-407,stacked,non-triple
ens-408,stacked,non-triple
ens-409,stacked,non-triple
ens-410,stacked,non-triple
ens-411,stacked,non-triple
ens-412,stacked,non-triple
ens-413,stacked,non-triple
ens-414,stacked,non-triple
ens-415,stacked,non-triple
ens-416,stacked,non-triple
ens-417,stacked,non-triple
ens-418,stacked,non-triple
ens-419,stacked,non-triple
ens-420,stacked,non-triple
ens-421,stacked,non-triple
ens-422,stacked,non-triple
ens-423,stacked,non-triple
ens-424,stacked,non-triple
ens-425,stacked,non-triple
ens-426,stacked,non-triple
ens-427,stacked,non-triple
ens-428,stacked,non-triple
ens-429,stacked,non-triple
ens-430,stacked,non-triple
ens-431,stacked,non-triple
ens-432,stacked,non-triple
ens-433,stacked,non-triple
ens-434,stacked,non-triple
ens-435,stacked,non-triple
ens-436,stacked,non-triple
ens-437,stacked,non-triple
ens-438,stacked,non-triple
ens-439,stacked,non-triple
ens-440,stacked,non-triple
ens-441,stacked,non-triple
ens-442,stacked,non-triple
ens-443,stacked,non-triple
ens-444,stacked,non-triple
ens-445,stacked,non-triple
ens-446,stacked,non-triple
ens-447,stacked,non-triple
ens-448,stacked,non-triple
ens-449,stacked,non-triple
ens-450,stacked,non-triple
ens-451,stacked,non-triple
ens-452,stacked,non-triple
ens-453,stacked,non-triple
ens-454,stacked,non-triple
ens-455,stacked,non-triple
ens-456,stacked,non-triple
ens-457,stacked,non-triple
ens-458,stacked,non-triple
ens-459,stacked,non-triple
ens-460,stacked,non-triple
ens-461,stacked,non-triple
ens-462,stacked,non-triple
ens-463,stacked,non-triple
ens-464,stacked,non-triple
ens-465,stacked,non-triple
ens-466,stacked,non-triple
ens-467,stacked,non-triple
ens-468,stacked,non-triple
ens-469,stacked,non-triple
ens-470,stacked,non-triple
ens-471,stacked,non-triple
ens-472,stacked,non-triple
ens-473,stacked,non-triple
ens-474,stacked,non-triple
ens-475,stacked,non-triple
ens-476,stacked,non-triple
ens-477,stacked,non-triple
ens-478,stacked,non-triple
ens-479,stacked,non-triple
ens-480,stacked,non-triple
ens-481,stacked,non-triple
ens-482,stacked,non-triple
ens-483,stacked,non-triple
ens-484,stacked,non-triple
ens-485,stacked,non-triple
ens-486,stacked,non-triple
ens-487,stacked,non-triple
ens-488,stacked,non-triple
ens-489,stacked,non-triple
ens-490,stacked,non-triple
ens-491,stacked,non-triple
ens-492,stacked,non-triple
ens-493,stacked,non-triple
ens-494,stacked,non-triple
ens-495,stacked,non-triple
ens-496,stacked,non-triple
ens-497,stacked,non-triple
ens-498,stacked,non-triple
ens-499,stacked,non-triple
ens-500,stacked,non-triple
ens-501,stacked,non-triple
ens-502,stacked,non-triple
ens-503,stacked,non-triple
ens-504,stacked,non-triple
ens-505,stacked,non-triple
ens-506,stacked,non-triple
ens-507,stacked,non-triple
ens-508,stacked,non-triple
ens-509,stacked,non-triple
ens-510,stacked,non-triple
ens-511,stacked,non-triple
ens-512,stacked,non-triple
ens-513,stacked,non-triple
ens-514,stacked,non-triple
ens-515,stacked,non-triple
ens-516,stacked,non-triple
ens-517,stacked,non-triple
ens-518,stacked,non-triple
ens-519,stacked,non-triple
ens-520,stacked,non-triple
ens-521,stacked,non-triple
ens-522,stacked,non-triple
ens-523,stacked,non-triple
ens-524,stacked,non-triple
ens-525,stacked,non-triple
ens-526,stacked,non-triple
ens-527,stacked,non-triple
ens-528,stacked,non-triple
ens-529,stacked,non-triple
ens-530,stacked,non-triple
ens-531,stacked,non-triple
ens-532,stacked,non-triple
ens-533,stacked,non-triple
ens-534,stacked,non-triple
ens-535,stacked,non-triple
ens-536,stacked,non-triple
ens-537,stacked,non-triple
ens-538,stacked,non-triple
ens-539,stacked,non-triple
ens-540,stacked,non-triple
ens-541,stacked,non-triple
ens-542,stacked,non-triple
ens-543,stacked,non-triple
ens-544,stacked,non-triple
ens-545,stacked,non-triple
ens-546,stacked,non-triple
ens-547,stacked,non-triple
ens-548,stacked,non-triple
ens-549,stacked,non-triple
ens-550,stacked,non-triple
ens-551,stacked,non-triple
ens-552,stacked,non-triple
ens-553,stacked,non-triple
ens-554,stacked,non-triple
ens-555,stacked,non-triple
ens-556,stacked,non-triple
ens-557,stacked,non-triple
ens-558,stacked,non-triple
ens-559,stacked,non-triple
ens-560,stacked,non-triple
ens-561,stacked,non-triple
ens-562,stacked,non-triple
ens-563,stacked,non-triple
ens-564,stacked,non-triple
ens-565,stacked,non-triple
ens-566,stacked,non-triple
ens-567,stacked,non-triple
ens-568,stacked,non-triple
ens-569,stacked,non-triple
ens-570,stacked,non-triple
ens-571,stacked,non-triple
ens-572,stacked,non-triple
ens-573,stacked,non-triple
ens-574,stacked,non-triple
ens-575,stacked,non-triple
ens-576,stacked,non-triple
ens-577,stacked,non-triple
ens-578,stacked,non-triple
ens-579,stacked,non-triple
ens-580,stacked,non-triple
ens-581,stacked,non-triple
ens-582,stacked,non-triple
ens-583,stacked,non-triple
ens-584,stacked,non-triple
ens-585,stacked,non-triple
ens-586,stacked,non-triple
ens-587,stacked,non-triple
ens-588,stacked,non-triple
ens-589,stacked,non-triple
ens-590,stacked,non-triple
ens-591,stacked,non-triple
ens-592,stacked,non-triple
ens-593,stacked,non-triple
ens-594,stacked,non-triple
ens-595,stacked,non-triple
ens-596,stacked,non-triple
ens-597,stacked,non-triple
ens-598,stacked,non-triple
ens-599,stacked,non-triple
ens-600,stacked,non-triple
ens-601,stacked,non-triple
ens-602,stacked,non-triple
ens-603,stacked,non-triple
ens-604,stacked,non-triple
ens-605,stacked,non-triple
ens-606,stacked,non-triple
ens-607,stacked,non-triple
ens-608,stacked,non-triple
ens-609,stacked,non-triple
ens-610,stacked,non-triple
ens-611,stacked,non-triple
ens-612,stacked,non-triple
ens-613,stacked,non-triple
ens-614,stacked,non-triple
ens-615,stacked,non-triple
ens-616,stacked,non-triple
ens-617,stacked,non-triple
ens-618,stacked,non-triple
ens-619,stacked,non-triple
ens-620,stacked,non-triple
ens-621,stacked,non-triple
ens-622,stacked,non-triple
ens-623,stacked,non-triple
ens-624,stacked,non-triple
ens-625,stacked,non-triple
ens-626,stacked,non-triple
ens-627,stacked,non-triple
ens-628,stacked,non-triple
ens-629,stacked,non-triple
ens-630,stacked,non-triple
ens-631,stacked,non-triple
ens-632,stacked,non-triple
ens-633,stacked,non-triple
ens-634,stacked,non-triple
ens-635,stacked,non-triple
ens-636,stacked,non-triple
ens-637,stacked,non-triple
ens-638,stacked,non-triple
ens-639,stacked,non-triple
